power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,lesion_width_mm,lesion_area_mm2,depth_to_width_ratio,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name
30.0,30.0,4.0,4.0,1500.0,0.5,281,141,0.05,0.2,2.3870929769241607,3.0670718103989905,5.546938775510235,0.7782970613308293,0.5967732442310402,False,0.0,61.588852379928134,standard_30W_30s
50.0,10.0,4.0,4.0,1500.0,0.5,281,141,0.05,0.2,1.4720046151974144,2.713456930683251,2.9314285714285875,0.5424831323291954,0.3680011537993536,False,0.0,65.9919907644646,hpsd_50W_10s
90.0,4.0,4.0,4.0,1500.0,0.5,281,141,0.05,0.2,1.0720671209796175,2.813946399259504,2.380408163265319,0.38098349039687973,0.2680167802449044,False,0.0,74.8308998011412,vhpsd_90W_4s
30.0,30.0,4.0,4.0,1500.0,1.0,281,141,0.05,0.2,2.7550288044576625,3.6450408277019326,8.052244897959229,0.7558293403793256,0.6887572011144156,False,0.0,65.76571451583307,standard_30W_30s
50.0,10.0,4.0,4.0,1500.0,1.0,281,141,0.05,0.2,1.7641540057025002,3.1514651854000872,4.466938775510229,0.5597885116660541,0.44103850142562506,False,0.0,72.13923982573938,hpsd_50W_10s
90.0,4.0,4.0,4.0,1500.0,1.0,281,141,0.05,0.2,1.302022709167702,3.1079398109863403,3.4861224489796108,0.4189343386140062,0.3255056772919255,False,0.0,83.45958660172624,vhpsd_90W_4s
30.0,30.0,4.0,4.0,1500.0,1.5,281,141,0.05,0.2,3.070254475062208,4.117558972959715,10.34816326530618,0.7456491807949259,0.767563618765552,False,0.0,70.62661412872852,standard_30W_30s
50.0,10.0,4.0,4.0,1500.0,1.5,281,141,0.05,0.2,1.999598496266713,3.477995548349488,5.818775510204113,0.5749284231302824,0.49989962406667826,False,0.0,79.11122098846667,hpsd_50W_10s
90.0,4.0,4.0,4.0,1500.0,1.5,281,141,0.05,0.2,1.4849114005020323,3.3290048002037667,4.308979591836758,0.44605264624765384,0.3712278501255081,False,0.0,92.13278335038645,vhpsd_90W_4s
